method,RMSE (mean),RMSE (std),Max. error (mean),Max. error (std)
MSE,0.00034637920365767,0.00021597174384335426,0.0017424356214271741,0.0009880497087293577
ID,7.141178301258405e-05,1.5083303060349715e-05,0.0005656911078978588,0.0002177892393594718
GradNorm,0.0001936314114682295,0.00011989413196859828,0.001091733802941286,0.00047550517181283217
NTK,0.00010120556918802003,5.420335992457598e-05,0.0005499152722676037,0.0003000595392611732
SINOS,7.370474549538142e-05,1.2837840834593881e-05,0.00025029943540326726,6.988353324930198e-05
D-SINOS,0.0001578392019983156,5.094512920136237e-05,0.0004757037534812381,0.0001652344297657816
