method,RMSE (mean),RMSE (std),Max. error (mean),Max. error (std)
MSE,0.0003283613920602189,0.00016847863098640306,0.002154834612770562,0.0014705784444744045
ID,4.285652842926124e-05,1.3609691662046242e-05,0.00020399970474630492,7.894963127623966e-05
GradNorm,0.00011385741236179475,2.3393012294787714e-05,0.000814158233315343,0.00017712983124652636
NTK,0.00011907996852578053,4.963483444832484e-05,0.0004548789704998168,0.000150429618133952
SINOS,6.427507673109311e-05,1.0199536167295232e-05,0.0002023079366013092,8.987667144735947e-06
D-SINOS,0.0002487447262797357,0.00011456671943897148,0.0007589340075183748,0.00036047647212389476
