method,loss_kind,lr,probe_steps,initial_loss,final_loss,loss_ratio,finite
NTK,mse,0.0001,8,1250.1181568938223,1249.25551611089,0.9993099526007401,True
NTK,mse,0.0002,8,1250.1181568938223,1248.3302650749845,0.998569821733267,True
NTK,mse,0.0003,8,1250.1181568938223,1247.3543497557278,0.997789163270005,True
NTK,mse,0.0005,8,1250.1181568938223,1245.3372457178602,0.9961756325595325,True
NTK,mse,0.0007,8,1250.1181568938223,1243.4514284248828,0.9946671213179525,True
NTK,mse,0.001,8,1250.1181568938223,1241.6012315616688,0.9931871037268064,True
NTK,mse,0.002,8,1250.1181568938223,1240.0192952759119,0.991921674313568,True
NTK,mse,0.003,8,1250.1181568938223,1239.5826855828827,0.991572419572629,True
NTK,mse,0.005,8,1250.1181568938223,1236.5225885360433,0.9891245733190852,True
SINOS,sinos,1e-05,8,2718.4053416155316,2715.310774855053,0.9988616242349496,True
SINOS,sinos,3e-05,8,2718.4053416155316,2709.249792351766,0.9966320146875798,True
SINOS,sinos,0.0001,8,2718.4053416155316,2689.3528449213695,0.9893126693619222,True
SINOS,sinos,0.0002,8,2718.4053416155316,2664.33100007598,0.9801080653014698,True
SINOS,sinos,0.0003,8,2718.4053416155316,2643.0586793905995,0.9722827714206322,True
SINOS,sinos,0.0005,8,2718.4053416155316,2610.561856434268,0.9603284015336827,True
SINOS,sinos,0.0007,8,2718.4053416155316,2589.4755878025394,0.9525715492685245,True
SINOS,sinos,0.001,8,2718.4053416155316,2574.434093613314,0.947038344209309,True
SINOS,sinos,0.002,8,2718.4053416155316,2580.8788833927147,0.9494091421476218,True
SINOS,sinos,0.003,8,2718.4053416155316,2566.615104782293,0.9441620296614668,True
SINOS,sinos,0.005,8,2718.4053416155316,2571.0930836168936,0.945809311163621,True
D-SINOS,dsinos,1e-05,8,293.84353850656754,290.4514287709726,0.9884560683116089,True
D-SINOS,dsinos,3e-05,8,293.84353850656754,283.7865073770312,0.9657741967693071,True
