method,RMSE (mean),RMSE (std),Max. error (mean),Max. error (std)
MSE,0.028145203813724557,0.012435528273681946,0.104500222025331,0.062362773912789174
ID,0.009723043710545689,0.007857470337252998,0.02312287545515892,0.016446526006656078
GradNorm,0.1044366273384794,0.10771453862139495,0.3079332857163262,0.2832849587162128
NTK,0.4254945831596123,0.45573273786485463,1.3097369224094664,1.4473598409433703
SINOS,0.05500761950623854,0.096432229129113,0.16673705434673897,0.26921469927398
D-SINOS,0.01089895247948099,0.0037842703094726504,0.03604429590490419,0.011428525824813435
