method,RMSE (mean),RMSE (std),Max. error (mean),Max. error (std)
MSE,0.0012670048871072227,0.0009628442310337744,0.004221070297695995,0.0018275308354371697
ID,0.0010543827229396781,0.0017389482596311,0.003271256543561277,0.0023653282331233625
GradNorm,0.0005495574205681842,0.0006082903285037799,0.0028019409025882456,0.0027295230232484502
NTK,0.0026593315783787676,0.0026951306771718646,0.012184200096393788,0.009581514490130798
SINOS,0.0021251374560840247,0.0018658359238968873,0.004453800555121079,0.0022026122480219876
D-SINOS,0.002138580004132781,0.0014625606695236777,0.0042823366374135,0.0026952052854873555
