SINOS_direct,D_SINOS_direct,SINOS_pinv,D_SINOS_pinv,SINOS_CG5,D_SINOS_CG5,SINOS_direct_time_ms,D_SINOS_direct_time_ms,SINOS_pinv_time_ms,D_SINOS_pinv_time_ms,SINOS_CG5_time_ms,D_SINOS_CG5_time_ms
7.26676800582289,1.0758158871961223,7.266768005821027,1.0758158871961223,3.31155313640584,1.0669118008035339,93.61670800717548,47.85741702653468,3.7027919897809625,1.7332089482806623,4.021458968054503,1.3488330296240747
6.831178023326769,1.0705137146197727,6.831178023326555,1.0705137146197719,3.4668588086949526,1.0604391443012557,26.655874971766025,39.129250042606145,2.7723750099539757,0.9947909857146442,1.289708015974611,0.8530420018360019
6.259956751990301,1.0721731880319354,6.259956751993583,1.0721731880319336,3.3786728155351877,1.0633217192842883,31.338707951363176,32.61704195756465,8.415125019382685,1.0813749977387488,5.952166975475848,0.8576249820180237
7.388470813796881,1.0816531224687342,7.38847081379606,1.0816531224687347,3.5363086944879067,1.0723224765440782,25.20933299092576,41.51133302366361,2.547499956563115,2.221208007540554,2.1824169671162963,0.8776250178925693
5.776710184106684,1.0784988269199087,5.776710184107174,1.078498826919909,3.622123763178783,1.0689859841814142,63.81929200142622,51.671417022589594,1.47537502925843,3.3425840083509684,2.8078749892301857,1.6293330118060112
8.750046121862214,1.0698018317359173,8.750046121863305,1.0698018317359157,3.8143113271688085,1.0599350860694239,29.297833039890975,22.354958986397833,2.5357500417158008,4.929166985675693,3.9945419994182885,1.465959008783102
8.040402194589552,1.064247626861292,8.040402194586859,1.064247626861293,4.5830254953575125,1.0541176281540157,28.73775002080947,50.34095799783245,5.982542003039271,5.61641703825444,1.600167015567422,1.2165000080130994
6.817885862510587,1.0869682052241012,6.81788586251033,1.0869682052241005,3.9248413193080918,1.0783927837193712,29.123499989509583,35.54195800097659,5.615000030957162,3.2113330089487135,1.3155420310795307,2.1187500096857548
8.611212757140144,1.0754621488480594,8.61121275713612,1.0754621488480594,4.7014042013636175,1.0656955900035232,28.971874970011413,41.31283302558586,17.9917499772273,11.797374987509102,6.9068329758010805,10.085500020068139
7.829777055655587,1.0712200085029058,7.82977705566042,1.0712200085029053,3.0148106604293186,1.061551693926442,31.552458996884525,23.02716701524332,10.528917016927153,24.011582951061428,3.3281249925494194,9.296707983594388
8.120644085104773,1.0745134508460974,8.120644085103722,1.0745134508460972,2.794966334191744,1.065110986531606,29.952291981317103,34.56599998753518,9.594457980711013,1.7922499682754278,7.671499974094331,2.5638340157456696
6.512461029675037,1.078814219486652,6.512461029677059,1.078814219486652,3.0227555884336637,1.0696418245256198,36.56329098157585,30.41954099899158,2.706624974962324,0.911083014216274,1.6463330248370767,2.308374969288707
7.366755741918132,1.0686076002851799,7.366755741918042,1.0686076002851805,3.7265610756573633,1.0576026346960419,29.62575003039092,24.571957997977734,2.3260420421138406,4.493459011428058,3.6477919784374535,1.7306659719906747
7.442744005237918,1.076554382565048,7.442744005238543,1.0765543825650477,3.1399169199938792,1.0661612856578864,24.9634999781847,29.33091699378565,2.912333991844207,9.289459034334868,1.9808750366792083,2.9665420297533274
7.014853421904085,1.0740492264745525,7.014853421907353,1.0740492264745523,3.8497057452251138,1.062535685197964,20.876542024780065,29.663333960343152,6.854500039480627,5.30479202279821,4.3011250090785325,1.811583002563566
6.124973115960377,1.083172030891519,6.124973115960123,1.0831720308915183,3.926197441599576,1.0732184834952418,22.697208973113447,28.13625003909692,4.881125001702458,5.1340420031920075,1.5511660021729767,9.156541025731713
7.059087319191953,1.077944046387597,7.059087319192547,1.0779440463875978,4.40791973986614,1.068822248825996,27.671874966472387,33.95791701041162,10.013957973569632,1.8372079939581454,0.9191249846480787,0.7843750063329935
6.721636328634224,1.0772775873873703,6.721636328635134,1.0772775873873706,3.5744904048879373,1.068753532056327,26.566291984636337,20.96279099350795,0.8952500065788627,1.5619589830748737,6.710958026815206,3.137499967124313
8.761357632684541,1.0645736046181058,8.761357632686071,1.0645736046181058,3.4989509608770692,1.0547528347208655,33.38712500408292,37.940749956760556,14.538625022396445,2.5912499986588955,1.367584045510739,1.1738749453797936
6.953426629504172,1.0676942933855575,6.953426629503591,1.0676942933855575,3.6292897353873506,1.0581641655861231,36.49154101731256,24.579667020589113,0.9782909764908254,1.0357499704696238,2.543084032367915,1.392749953083694
6.367274499260669,1.0733759602480457,6.367274499261292,1.0733759602480453,4.099206866067536,1.0646791281076422,28.691332961898297,18.858791969250888,19.500333000905812,15.528165968135,4.773583030328155,2.2600420052185655
8.291444298002663,1.0634409483596785,8.291444298005258,1.0634409483596805,3.5106810377302713,1.0522020897131432,33.78566697938368,32.770999998319894,7.444416987709701,9.925708000082523,3.857791016343981,0.7719999994151294
6.144202901034366,1.0935063132032277,6.144202901034861,1.093506313203228,3.5212272800625564,1.0844680577181485,29.060125001706183,32.03970903996378,4.001999972388148,2.3050829768180847,5.152875033672899,2.6783340144902468
6.58534203135549,1.0770698637406646,6.585342031355053,1.0770698637406642,3.4774558894045415,1.0687189058155906,32.7262919745408,46.7227500048466,21.137624979019165,34.773416991811246,22.70341699477285,17.425499972887337
6.411931658922678,1.0710649573732867,6.411931658922676,1.0710649573732873,3.6873278017271507,1.062060916927904,84.02637497056276,37.22391702467576,6.602415989618748,4.987457999959588,6.691457994747907,19.54862498678267
7.44101397602473,1.0819959701384763,7.441013976026896,1.0819959701384758,3.797339150854734,1.073202847702584,37.75562497321516,27.4237499688752,8.784125035163015,1.0729579953476787,4.117916978430003,3.5449169808998704
6.623502176272179,1.065539439182769,6.623502176272773,1.0655394391827686,3.833722191134951,1.056503328443542,34.74083403125405,31.26079199137166,12.912332953419536,11.715249973349273,1.3645000290125608,6.97545800358057
6.2464719370592015,1.0917735213491588,6.246471937058558,1.0917735213491586,3.727507871232707,1.081732388333343,25.777834001928568,35.43829097179696,10.095792007632554,2.678624994587153,1.0999999940395355,5.024207988753915
6.955527001559981,1.0893224917807303,6.955527001560714,1.0893224917807312,5.1427368744966895,1.0769934139094168,29.25162500469014,32.78125001816079,15.444291988387704,2.442625002004206,2.6754169957712293,8.315625018440187
8.367204922302939,1.081756220269642,8.367204922304866,1.0817562202696418,3.6870104632962475,1.0713384813841886,35.14529200037941,40.71074997773394,6.738082971423864,10.031792044173926,1.4306670054793358,5.810458038467914
6.242343149286287,1.0701770875280119,6.242343149285375,1.0701770875280108,2.8037121372504106,1.060360120248791,28.264083026442677,29.17670801980421,4.3387499754317105,10.492250032257289,1.8606670200824738,1.1348749976605177
6.284107533669417,1.092340425805078,6.284107533669835,1.0923404258050777,3.364124794292794,1.0823225417730296,25.483582983724773,31.809792038984597,4.806207958608866,5.595874972641468,8.998791978228837,14.651582983788103
6.236036329689671,1.0731267688980033,6.236036329691391,1.0731267688980037,2.9623376764331226,1.0652168667764523,31.68337495299056,31.690249976236373,18.038999987766147,14.27562499884516,1.4473750488832593,4.932250012643635
6.651890433015477,1.0746879211883025,6.651890433017803,1.0746879211883025,4.4734181886395,1.064949065832585,41.62470798473805,24.760291969869286,1.7740830080583692,1.2723749969154596,2.080083009786904,2.9263339820317924
7.294763161942527,1.0764127030699062,7.294763161944861,1.076412703069906,3.766277495020899,1.0674277073677478,30.578000005334616,44.42195798037574,3.6522920127026737,8.523124968633056,2.451874956022948,6.474125024396926
