degree,N,MSE C0,MSE C1,MSE ratio,L2 C0,L2 C1,L2 ratio,SINOS C0,SINOS C1,SINOS ratio,D-SINOS C0,D-SINOS C1,D-SINOS ratio,MSE-L2 ratio,MSE-Half ratio,L2-MSE ratio,L2-Half ratio,SINOS-MSE ratio,SINOS-L2 ratio,D-SINOS-MSE ratio,D-SINOS-L2 ratio
1,4,0.10714285714285721,0.25000000000000017,2.3333333333333335,0.85714285714285765,2.0000000000000013,2.3333333333333335,2.0000000000000022,6.8571428571428585,3.4285714285714253,2.0000000000000022,6.8571428571428585,3.4285714285714253,2.3333333333333335,3.4285714285714253,2.3333333333333335,3.4285714285714253,2.3333333333333335,2.3333333333333335,2.3333333333333335,2.3333333333333335
2,9,0.038671874999999856,1.6114046624064018,41.668645815761657,0.37500000000000078,6.1572185760168106,16.419249536044795,1.8261365524656408,8.0057933025623473,4.3840058355729008,0.66143903327806552,8.0057933025623473,12.103599726925632,7.3208402822632195,9.5056534714770233,146.92131037885423,4.8165765857968372,146.91808728798932,16.410732972054809,22.855581140469827,6.6239546292153237
3,16,0.024955634427684031,11.024011490074534,441.74438930894371,0.21739130434782739,26.904866355772104,123.76238523655094,1.8288666673762679,8.8882786320742682,4.8599926887100997,0.65693686071491886,8.7387075988313843,13.302203181781257,51.158155886070809,17.202089789418725,1076.7072668658466,15.01766493571593,227.89229644259333,28.30851437679468,36.807786529415829,11.255065206471173
4,25,0.024601896582571701,44.955752846320642,1827.3287466043523,0.217391304347829,75.657119037292617,348.0227475715414,0.69570852564075336,22.483038428762423,32.316749903352637,0.65515273705994181,9.1733418509474998,14.00183702523127,216.91158482564424,82.105518835409725,3074.0631517447555,41.981536213412731,1007.4028006860362,148.43586396432906,39.4666156318522,11.968087589659465
5,36,0.024226567193631209,136.22246368583441,5622.8545545505594,0.20900863918993595,166.52725867849156,796.74820774829516,0.69574009688531346,22.645323645775836,32.548538954638857,0.65517111206132106,9.5701623758564285,14.607118964306082,671.45040204075588,248.6238653130176,6869.1963183976641,91.86106574316122,1036.4615428016029,197.60436992328539,46.48440106054634,16.481220614392548
6,49,0.018454047922368065,343.7213922355665,18625.799265371119,0.14776122783405188,318.9906324515498,2158.824998461726,0.67468750291585255,47.887525420931802,70.977341678884429,0.65518478318928708,9.8241210237248655,14.994427947339268,2339.035671303111,646.3206058482989,17283.15618058616,175.55545983927288,2645.8181684215201,533.59692804247595,53.73197440303786,22.07217811112351
7,64,0.014948274305008551,762.22508012014418,50990.84112102184,0.10949580723402881,555.85745431876921,5076.5181641221907,0.67469972168552816,47.954224309743232,71.074913429554201,0.6551960721499015,10.057411323705507,15.350231405850803,6971.6305672390981,1454.1052365409528,37183.595346340808,305.5426055250515,3217.295294454947,643.30810709545153,66.554437166516365,27.754190802663967
8,81,0.012782579857108175,1534.9791868746763,120083.67669387965,0.086021365087494861,903.44485999888605,10502.563625675619,0.66649939144174275,82.696888776359216,124.07646554256092,0.65520460499985045,10.227674643703201,15.609894322561326,18010.824801662606,2964.4118327452429,65368.387759714002,496.27614786197699,6589.3516415820322,1314.0817720803529,78.014761797500626,33.429830513924145
9,100,0.012143938814473332,2867.4142694586867,236118.96545799938,0.072534810815449491,1391.4056187141316,19182.591132060556,0.66650635071151143,82.733824485547572,124.13058689872533,0.65521134338597142,10.386034672209858,15.851426836625539,41435.442184973173,5594.3276796457003,101053.70100701446,764.00848428494498,7612.0951309078628,1533.8211320057267,89.310157294018239,39.26012313054499
10,121,0.012282747109236034,5043.0261658718273,410578.03445938532,0.066739630511057038,2052.8220837979193,30758.667197862589,0.66257869289008764,126.82113591279183,191.40539421757356,0.65521676656720906,10.509929901390221,16.040386079332972,85325.574425180617,9922.8492589134421,164743.2455004949,1126.8920579307844,13245.649978767391,2727.5544958719429,95.426835189852738,45.890289796276683
11,144,0.010802019329272061,8440.6539479901767,781395.93076982442,0.061932240047252847,2924.1405029045904,47215.158061028305,0.6625832264690763,126.84450513774055,191.43935443958989,0.65522123578955693,10.626534064300232,16.218238182550678,157252.85839478162,16727.232906791167,270334.4665398029,1604.9088302908424,14792.724022968398,3141.1844943796023,104.43211712979421,54.514663219226684
12,169,0.0095460315139949611,13553.745266934204,1419830.3501369897,0.054599458168150775,4045.2090918940776,74088.813838334914,0.66040260438831988,180.24349615232333,272.92971734911464,0.65522497675486524,10.721752404170713,16.363467182329295,271070.35604082717,27023.916082727446,423543.20226795733,2219.9178384240363,23190.659738118975,5110.2145275032253,116.30626804982941,63.671842527355295
13,196,0.0085452134589515585,21011.137085370567,2458819.4532882385,0.047220010122824632,5459.2449783088132,115612.95654339535,0.66040580567333884,180.25952963844588,272.9526725687341,0.65522815637794962,10.812225652319738,16.501466774701626,463798.80797422264,42112.414602386038,637413.19540507661,2995.6138337148459,25296.902715308737,5810.9425950521181,127.62228535043727,73.417961220756922
14,225,0.0077429094980027199,31599.738417146677,4081119.4325980195,0.040901458673807567,7212.8532852813796,176347.09174566282,0.65907061029477121,242.95917155782811,368.63906198026933,0.6552308908433816,10.888290924430326,16.617487173743353,787753.09761302301,63623.467720831432,921688.5490829855,3957.5596727483917,36847.396884051435,8851.823201963296,138.12754111823773,83.372712814185903
15,256,0.0071141379447228707,46288.789945238073,6506591.5652611433,0.035724876900642411,9356.0085962059475,261890.57620063363,0.65907299555774701,242.97080574179614,368.65538017709207,0.65523326815690686,10.961115253065818,16.728569481671972,1309867.5506505305,93570.48391584272,1268175.3409093034,5133.1562398182632,39477.382388483449,9941.9457989200837,147.57034732252228,94.016609070385215
16,289,0.0066722412401623481,66255.976491942041,9930093.0687467027,0.031554571435629647,11942.065658702339,378457.54562262981,0.65819639960856602,314.96650887505751,478.52967452020442,0.65523535360024154,11.023655334505781,16.823962983583609,2120842.786313659,134405.01636441943,1625304.7973722392,6551.6658654698149,54421.316130014391,14393.682498750517,155.73591333039056,104.61295043475579
17,324,0.0064745485413984696,92915.153339517405,14350831.219414752,0.02824870223799876,15027.748006018866,531980.11998598231,0.65819824703869045,314.97530827338124,478.54170030152977,0.65523719801839353,11.083895882676712,16.915852635041592,3340642.2622970161,189075.6633046706,2150170.1453763959,8244.1913990980574,57479.725237079874,15987.862679550939,166.61695672509927,116.0928749111101
18,361,0.0063855627427516527,127945.89411823802,20036745.275656607,0.025680922735833018,18673.154357956559,727121.62837909232,0.65759187306997302,396.26488278525397,602.60003052545062,0.65523884077204797,11.136473806621828,16.996052605031867,5120091.2490029847,261090.90807645401,2905911.1781500974,10243.691644361639,75935.435582251754,22231.673925599436,178.63814484745561,127.41678517013806
19,400,0.0058881713888438957,173324.67668053371,29436078.747457262,0.02370329385380808,22941.751121887482,967871.86048413895,0.65759334668824976,396.27175498934389,602.60913068089087,0.65524031329376187,11.187369835650996,17.07368977255738,7637152.9665716682,354585.45275188336,3845124.6576103256,12584.967693827684,79361.395606701481,24457.34729408818,190.69424287376637,139.80800740536634
20,441,0.0054804399301288916,231357.86933131804,42215200.290659301,0.022113409023654919,27900.376398755896,1261694.9457639302,0.65715651017656285,486.8540507684254,740.84946771297894,0.65524164068385116,11.23236381771302,17.142322954307701,11090545.792118568,474390.43177056173,5030977.2971726237,15304.672711406623,101766.12118718619,32915.547600164391,202.14817200403084,152.08211139488668
21,484,0.0051547377477678315,304716.37174970581,59113845.68141374,0.020696435174580086,33619.234773874945,1624397.3655505169,0.65715771322754801,486.85955687340027,740.85649011445116,0.65524284341922046,11.276097043800933,17.20903502731819,15707515.61486727,626107.1690490722,6487399.0908671236,18441.303090295547,107309.45594833473,35912.456965771962,213.75279169860858,165.5165194223448
22,529,0.0048505515698342647,396472.0412018334,81737516.95941256,0.019322232260827382,40171.899919905911,2079050.669593066,0.65683261918112845,586.73392479817005,893.27769002953858,0.65524393824632188,11.315162228574392,17.268625573031631,21791691.490225755,816184.76246916805,8249417.3959737187,22035.204612437024,136754.9827824432,47047.106439441304,224.36565401784353,179.74606935383622
23,576,0.0045689577538357683,510135.78552485857,111652550.321041,0.017970194275349786,47635.310834584459,2650795.5398082221,0.65683362000569079,586.73842942075282,893.28318702028275,0.65524493907552583,11.353263111939269,17.326746739864024,29799890.799388867,1052001.2722052904,10343824.246484078,26128.566630908419,144146.97105835439,50966.755754958445,235.36663379616087,195.06274626892119
24,625,0.0043236436060892129,649697.4303071677,150266185.07412705,0.016671176428734412,56089.773588359654,3364476.0361172482,0.65658516351427865,695.9044819100784,1059.884567274333,0.65524585750190356,11.387591131288046,17.37911197897953,40381357.117136076,1341948.646092583,12780064.086758293,30765.426330500199,179689.16930622418,65278.381801688105,245.05296864314818,210.88094751068857
25,676,0.0041128225035253112,819667.26187546039,199295559.47840723,0.01545701275779188,65618.958525099399,4245254.8596119182,0.65658600918722976,695.90823174073068,1059.8889132623719,0.65524670330489609,11.421169180936948,17.43033444248022,54357520.551512182,1695521.3870592592,15545581.454988739,35991.663652892508,188361.39936762562,70283.602204962823,255.83250955254766,227.18289979614337
26,729,0.0039360951191877531,1025119.3360631642,260440691.85876441,0.014345423070754103,76309.901469771939,5319459.8091250658,0.65639186522763238,814.36572662994206,1240.6700475294974,0.65524748476457584,11.451642368914998,17.476820033928803,72700353.960272118,2123408.8315077592,18647598.614053961,41855.005152140249,230519.56711790818,88310.115615503761,267.76325581985344,243.95538874689527
27,784,0.0037927255151953055,1271736.4697311933,335309387.57262152,0.013341991522881208,88253.001595527589,6614679.7833123878,0.65639258926129418,814.36889423714922,1240.6735047902384,0.65524820895675373,11.481524093462495,17.522404390456369,96542142.910714,2637591.0417671837,22414480.036751397,48405.021211446139,240559.91586347565,94574.78965505815,280.05651337154342,261.18986040262536
28,841,0.0036759143205120715,1565856.9915276414,425977554.15297884,0.012445054910894269,101542.02227955507,8159226.536691796,0.65623800914282304,942.11767444389295,1435.634116461016,0.65524888194971109,11.508811379032773,17.564030547885846,127200909.61229651,3251438.971220681,27106786.840984836,55693.127944322638,289857.62414320104,116890.64794771383,292.26347312067446,278.88228593223835
29,900,0.0035536465329877439,1914523.1808607567,538748905.69127953,0.01164916227069096,116274.08944543905,9981326.2742491048,0.65623863601968768,942.12038398894003,1435.6368739628365,0.65524950898940215,11.535626719056038,17.604937601323122,166202928.78900129,3979817.238719231,32509750.518721305,63772.582936458486,301530.5122289951,124599.59574890122,304.35986075113442,297.03280713743209
