method,Velocity RMSE (mean),Velocity RMSE (std),Velocity max. error (mean),Velocity max. error (std),Pressure RMSE (mean),Pressure RMSE (std),Pressure max. error (mean),Pressure max. error (std),Combined RMSE (mean),Combined RMSE (std),Combined max. error (mean),Combined max. error (std)
MSE,0.0010802331381356467,,0.003527727614388266,,0.0025223543891413607,,0.010316063883350282,,0.002743934273474325,,0.010814192505226996,
ID,0.014918190648936956,,0.037334113276381295,,0.035875642606704165,,0.09693659959996986,,0.03885375328950856,,0.09759685965077802,
GradNorm,0.04880145770430992,,0.094033599555964,,0.17742606911592498,,0.3724168971392071,,0.184015195774682,,0.37317074361869107,
NTK,0.0011535297111794868,,0.003220561534530094,,0.0029111038726769476,,0.009525419076927999,,0.0031313186602593725,,0.009646971003398237,
SINOS,0.002362015748189122,,0.005296254746947972,,0.005774906399460273,,0.01789270674805133,,0.006239283798419546,,0.017902284236052612,
D-SINOS,0.004670741576829693,,0.011565070676911786,,0.01009306003584306,,0.06427366134827946,,0.011121406734970979,,0.06427374437324722,
